organism,NCBI.reference.nr,host,host.disease,isolation.source,sample.type,free.living,disease.associated
Pseudomonas viridiflava,CP077722.1,Medicago sativa,NA,plant,bacterial cells,host.associated,unknown
Pseudomonas viridiflava,CP077720.1,Medicago sativa,NA,plant,bacterial cells,host.associated,unknown
Pseudomonas viridiflava,CP077719.1,Medicago sativa,NA,plant,bacterial cells,host.associated,unknown
Pseudomonas viridiflava,CP077721.1,Medicago sativa,NA,plant,bacterial cells,host.associated,unknown
Pseudomonas viridiflava,CP077718.1,Medicago sativa,NA,plant,bacterial cells,host.associated,unknown
Pseudomonas aeruginosa,NZ_CP039749.1,NA,NA,"water bottle, animal room",whole organism,free.living,unknown
Pseudomonas aeruginosa,NZ_MPBP01000001.1,NA,NA,NA,NA,unknown,unknown
Pseudomonas aeruginosa,NZ_LVWC01000001.1,Homo sapiens,NA,bloodstream,whole organism,host.associated,unknown
Pseudomonas viridiflava,NZ_JAHRDZ010000001.1,Medicago sativa,NA,plant,bacterial cells,host.associated,unknown
Pseudomonas asiatica,NZ_SWEE01000001.1,Homo sapiens,NA,NA,NA,host.associated,unknown
Pseudomonas aeruginosa,NZ_CP053687.1,NA,NA,Dog ears,cell culture,host.associated,unknown
Pseudomonas aeruginosa,NZ_CP044533.1,Homo sapiens,NA,sepsis/hemoculture,hemoculture,host.associated,disease.associated
Pseudomonas aeruginosa,NZ_JAATIJ010000001.1,Homo sapiens,cystic fibrosis,lung,NA,host.associated,disease.associated
Pseudomonas aeruginosa,NZ_JAATII010000001.1,Homo sapiens,cystic fibrosis,lung,NA,host.associated,disease.associated
Pseudomonas aeruginosa,NZ_JAATIF010000001.1,Homo sapiens,NA,NA,NA,host.associated,unknown
Pseudomonas aeruginosa,NZ_JAATIK010000001.1,Homo sapiens,cystic fibrosis,lung,NA,host.associated,disease.associated
Pseudomonas aeruginosa,NZ_JAATIH010000001.1,Homo sapiens,cystic fibrosis,lung,NA,host.associated,disease.associated
Pseudomonas aeruginosa,NZ_JAATIM010000001.1,Homo sapiens,cystic fibrosis,lung,NA,host.associated,disease.associated
Pseudomonas aeruginosa,NZ_JAATIG010000001.1,Homo sapiens,cystic fibrosis,lung,NA,host.associated,disease.associated
Pseudomonas aeruginosa,NZ_JAATIN010000001.1,Homo sapiens,wound infection,wound,NA,host.associated,disease.associated
Pseudomonas aeruginosa,NZ_CP053686.1,Homo sapiens,Tonsilitis,Pharynx,NA,host.associated,disease.associated
Pseudomonas aeruginosa,NZ_CP041787.1,Homo sapiens,Purulent wound,wound,NA,host.associated,disease.associated
Pseudomonas putida,NZ_RKIW01000001.1,Homo sapiens,Cystic fibrosis,Throat (pharynx),NA,host.associated,disease.associated
Pseudomonas aeruginosa,NZ_RKJI01000001.1,Homo sapiens,NA,UCC isolate,NA,host.associated,unknown
Pseudomonas aeruginosa,NZ_CP041786.1,Homo sapiens,Purulent wound,wound,NA,host.associated,disease.associated
Pseudomonas aeruginosa,NZ_CP041785.1,Homo sapiens,Purulent wound,wound,NA,host.associated,disease.associated
Pseudomonas paraversuta,NZ_CAJFDA010000001.1,NA,NA,NA,NA,unknown,unknown
Pseudomonas paraversuta,NZ_CAJFCK010000001.1,NA,NA,NA,NA,unknown,unknown
Pseudomonas synxantha,LR027557.1,NA,NA,NA,NA,unknown,unknown
Pseudomonas aeruginosa,NZ_JAGYWJ010000001.1,Homo sapiens,Cystic Fibrosis,sputum sample,single colony forming unit,host.associated,disease.associated
Pseudomonas asiatica,NZ_SWEJ01000001.1,Homo sapiens,NA,NA,NA,host.associated,unknown
Pseudomonas syringae,NZ_CP075880.1,Medicago sativa,NA,NA,plant stem,host.associated,unknown
Pseudomonas syringae,CP075880.1,Medicago sativa,NA,NA,plant stem,host.associated,unknown
Pseudomonas syringae,NZ_JAHARV010000001.1,Medicago sativa,NA,plant stem,plant stem,host.associated,unknown
Pseudomonas syringae,NZ_JAHARZ010000001.1,Medicago sativa,NA,plant stem,plant stem,host.associated,unknown
Pseudomonas aeruginosa,CP074424.1,NA,NA,soil,whole organism,free.living,unknown
Pseudomonas sp. SCA2728.1_7,NZ_CP073104.1,wheat,NA,rhizosphere,rhizosphere,host.associated,unknown
Pseudomonas sp. B2021,NZ_SMOF01000001.1,NA,NA,agricultural soil,Soil,unknown,unknown
Pseudomonas asiatica,NZ_SWEH01000003.1,Homo sapiens,NA,NA,NA,host.associated,unknown
Pseudomonas lurida,NZ_PDJB01000001.1,NA,NA,NA,NA,unknown,unknown
Pseudomonas syringae KCTC 12500,NZ_AYTM02000002.1,NA,NA,NA,NA,unknown,unknown
Pseudomonas aeruginosa,NZ_CP070355.1,NA,NA,Plastic debris in land/lake environment,cell culture,free.living,unknown
Pseudomonas sp. SCA2728.1_7,CP073104.1,wheat,NA,rhizosphere,rhizosphere,host.associated,unknown
Pseudomonas protegens,NZ_CP054869.1,Curculionidae_Coleoptera,NA,NA,Arthropod,host.associated,unknown
Pseudomonas protegens,NZ_CP054870.1,Geophilidae_myriapod,NA,NA,Arthropod,host.associated,unknown
Pseudomonas chlororaphis,NZ_CP054866.1,Potato_root,NA,NA,Root,host.associated,unknown
Pseudomonas protegens,NZ_CP054872.1,Lithobius_myriapod,NA,NA,Arthropod,host.associated,unknown
Pseudomonas protegens,CP054870.1,Geophilidae_myriapod,NA,NA,Arthropod,host.associated,unknown
Pseudomonas protegens,CP054872.1,Lithobius_myriapod,NA,NA,Arthropod,host.associated,unknown
Pseudomonas protegens,CP054869.1,Curculionidae_Coleoptera,NA,NA,Arthropod,host.associated,unknown
Pseudomonas chlororaphis,CP054866.1,Potato_root,NA,NA,Root,host.associated,unknown
Pseudomonas sp. PvP100,NZ_JAFIBO010000001.1,not applicable,NA,NA,NA,unknown,unknown
Pseudomonas sp. PvP009,NZ_JAFIBG010000001.1,not applicable,NA,NA,NA,unknown,unknown
Pseudomonas sp. PvP007,NZ_JAFIBF010000001.1,not applicable,NA,NA,NA,unknown,unknown
Pseudomonas sp. BP7,NZ_JAGINJ010000001.1,not applicable,NA,NA,NA,unknown,unknown
Pseudomonas sp. PvP089,NZ_JAGGME010000001.1,not applicable,NA,NA,NA,unknown,unknown
Pseudomonas sp. PvP088,NZ_JAGGMD010000001.1,not applicable,NA,NA,NA,unknown,unknown
Pseudomonas sp. PvP028,NZ_JAFIBL010000001.1,not applicable,NA,NA,NA,unknown,unknown
Pseudomonas sp. PvP025,NZ_JAFIBJ010000001.1,not applicable,NA,NA,NA,unknown,unknown
Pseudomonas sp. BP6,NZ_JAGINI010000001.1,not applicable,NA,NA,NA,unknown,unknown
Pseudomonas sp. PvP027,NZ_JAFIBK010000001.1,not applicable,NA,NA,NA,unknown,unknown
Pseudomonas sp. BP8,NZ_JAGINK010000001.1,not applicable,NA,NA,NA,unknown,unknown
Pseudomonas moraviensis R28-S,NZ_CM002330.1,NA,NA,wastewater treatment,NA,free.living,unknown
Pseudomonas aeruginosa,NZ_JACWHG010000001.1,Homo sapiens,Pseudomonas infection,sputum,NA,host.associated,disease.associated
Pseudomonas aeruginosa,NZ_JACWGY010000001.1,Homo sapiens,Pseudomonas infection,sputum,NA,host.associated,disease.associated
Pseudomonas aeruginosa,NZ_JACWGS010000001.1,Homo sapiens,Pseudomonas infection,wound,NA,host.associated,disease.associated
Pseudomonas aeruginosa,NZ_JACWGQ010000001.1,Homo sapiens,Pseudomonas infection,wound,NA,host.associated,disease.associated
Pseudomonas aeruginosa,NZ_JACWGO010000001.1,Homo sapiens,Pseudomonas infection,DTA,NA,host.associated,disease.associated
Pseudomonas aeruginosa,NZ_JACWGT010000001.1,Homo sapiens,Pseudomonas infection,DTA,NA,host.associated,disease.associated
Pseudomonas aeruginosa,NZ_JACWGN010000005.1,Homo sapiens,Pseudomonas infection,bone,NA,host.associated,disease.associated
Pseudomonas chlororaphis subsp. aurantiaca,NZ_CP050510.1,NA,NA,rhizosphere,whole organism,host.associated,unknown
Pseudomonas aeruginosa PAK,NZ_LR657304.1,Homo sapiens,NA,NA,NA,host.associated,unknown
Pseudomonas putida,NZ_LT799039.1,not applicable,NA,NA,NA,unknown,unknown
Pseudomonas aeruginosa,NZ_CP032541.1,NA,NA,NA,Microbial isolate,unknown,unknown
Pseudomonas baetica,NZ_PHHE01000001.1,NA,NA,NA,NA,unknown,unknown
Pseudomonas tolaasii NCPPB 2192,NZ_PHHD01000001.1,NA,NA,NA,NA,unknown,unknown
Pseudomonas migulae,NZ_FNTY01000002.1,NA,NA,NA,NA,unknown,unknown
Pseudomonas mohnii,NZ_FNRV01000001.1,not applicable,NA,NA,NA,unknown,unknown
Pseudomonas jessenii,NZ_FNTC01000002.1,NA,NA,NA,NA,unknown,unknown
Pseudomonas grimontii,NZ_FNKM01000002.1,NA,NA,NA,NA,unknown,unknown
Pseudomonas anguilliseptica,NZ_FNSC01000001.1,not applicable,NA,NA,NA,unknown,unknown
Pseudomonas deceptionensis,NZ_FNUD01000002.1,NA,NA,NA,NA,unknown,unknown
Pseudomonas cannabina,NZ_FNKU01000001.1,not applicable,NA,NA,NA,unknown,unknown
Pseudomonas agarici,NZ_CP014135.1,Agaricus bisporus,NA,NA,Whole organism,host.associated,unknown
Pseudomonas aeruginosa,NZ_CP028331.1,Homo sapiens,VAP,BAL,NA,host.associated,unknown
Pseudomonas aeruginosa,NZ_CP028332.1,Homo sapiens,VAP,BAL,NA,host.associated,unknown
Pseudomonas aeruginosa,NZ_CP028330.1,Homo sapiens,VAP,BAL,NA,host.associated,unknown
Pseudomonas aeruginosa,NZ_CP028368.1,Homo sapiens,VAP,BAL,NA,host.associated,unknown
Pseudomonas sp. TH06,NZ_JAEKEC010000001.1,NA,NA,NA,NA,unknown,unknown
Pseudomonas sp. TH04,NZ_JAEKEA010000001.1,NA,NA,NA,NA,unknown,unknown
Pseudomonas sp. TH15,NZ_JAEKEL010000001.1,NA,NA,NA,NA,unknown,unknown
Pseudomonas sp. TH21,NZ_JAEKEQ010000001.1,NA,NA,NA,NA,unknown,unknown
Pseudomonas sp. TH07,NZ_JAEKED010000001.1,NA,NA,NA,NA,unknown,unknown
Pseudomonas sp. TH32,NZ_JAEKFA010000002.1,NA,NA,NA,NA,unknown,unknown
Pseudomonas aeruginosa,NZ_LQBU02000007.1,Homo sapiens,Genito Urinary Tubersulosis,mid stream urine of a 33 year female patient with a history of genito-urinary Tuberculosis,NA,host.associated,disease.associated
Pseudomonas sp. LFM046,NZ_JYKO02000001.1,NA,NA,NA,NA,unknown,unknown
Pseudomonas fluorescens,NZ_LUKJ01000003.1,NA,NA,Ground water,Whole organism,free.living,unknown
Pseudomonas fluorescens,NZ_LKBJ01000002.1,NA,NA,ground water from background well at DOE's FRC site at Oak Ridge,Whole organism,free.living,unknown
Pseudomonas aeruginosa,NZ_HG974234.1,NA,NA,NA,NA,unknown,unknown
Pseudomonas aeruginosa NCMG1179,NZ_DF126593.1,NA,NA,NA,NA,unknown,unknown
Pseudomonas aeruginosa,NZ_JPFC01000001.1,Homo sapiens,Cancer,urine,NA,host.associated,unknown
Pseudomonas aeruginosa,NZ_JPFB01000001.1,Homo sapiens,Chronic Obstructive Pulmonary Disease,NA,NA,host.associated,disease.associated
Pseudomonas aeruginosa,NZ_CP015648.1,NA,NA,NA,NA,unknown,unknown
Pseudomonas aeruginosa,NZ_CP015647.1,NA,NA,NA,NA,unknown,unknown
Pseudomonas aeruginosa,NZ_CP029713.1,Homo sapiens,NA,NA,urine,host.associated,unknown
Pseudomonas savastanoi pv. phaseolicola,NZ_JAANPZ010000004.1,Phaseolus vulgaris PI G19833,NA,purified colony,purified colony,host.associated,unknown
Pseudomonas aeruginosa,NZ_CP038661.1,cotton,NA,rhizosphere,rhizosphere,host.associated,unknown
Pseudomonas putida,NZ_KZ987399.1,NA,NA,rhizosphere soil of a ginseng-cultivation field,whole organism,host.associated,unknown
Pseudomonas fluorescens,NZ_CP022313.1,Leonotis nepetifolia,NA,NA,single cell,host.associated,unknown
Pseudomonas protegens,NZ_CP051673.1,Wheat,NA,Wheat roots,cell culture,host.associated,unknown
Pseudomonas aeruginosa,CP070355.1,NA,NA,Plastic debris in land/lake environment,cell culture,free.living,unknown
Pseudomonas paracarnis,NZ_CAJFCM010000001.1,NA,NA,NA,NA,unknown,unknown
Pseudomonas protegens,CP051673.1,Wheat,NA,Wheat roots,cell culture,host.associated,unknown
Pseudomonas aeruginosa,NZ_CP029147.1,NA,NA,NA,NA,unknown,unknown
Pseudomonas aeruginosa,NZ_CP029148.1,NA,NA,NA,NA,unknown,unknown
Pseudomonas putida,NZ_CP018743.1,NA,NA,mercury contaminated soil,whole organism,free.living,unknown
Pseudomonas oleovorans,LR130779.2,NA,NA,NA,NA,unknown,unknown
Pseudomonas syringae pv. actinidiae,NZ_MTZF01000001.1,Actinidia chinensis,NA,NA,Isolated from plant tissue,host.associated,unknown
Pseudomonas aeruginosa,NZ_JAFCHA010000001.1,Homo sapiens,Retroperitoneal fibrosis,Midstream urine,NA,host.associated,disease.associated
Pseudomonas aeruginosa,NZ_JAFCHC010000001.1,Homo sapiens,Bilateral Renal Calculus,Midstream urine,NA,host.associated,unknown
Pseudomonas aeruginosa,NZ_JAFCHF010000001.1,Homo sapiens,Congenital acyanotic heart disease,Endotracheal tube,NA,host.associated,disease.associated
Pseudomonas aeruginosa,NZ_JAFCHK010000001.1,Homo sapiens,Vesicoureteral reflux,Supra pubic catheter urine,NA,host.associated,disease.associated
Pseudomonas aeruginosa,NZ_JAFCHB010000001.1,Homo sapiens,Bladder-outlet obstruction with Vesicoureteral reflux,Midstream urine,NA,host.associated,disease.associated
Pseudomonas aeruginosa,NZ_JAFCHG010000001.1,Homo sapiens,Congenital acyanotic heart disease,Pericardial fluid,NA,host.associated,disease.associated
Pseudomonas aeruginosa,NZ_JAFCHM010000001.1,NA,NA,Hospital Tap Water,NA,free.living,unknown
Pseudomonas aeruginosa,NZ_JAFCHL010000001.1,NA,NA,Hospital Tap Water,NA,free.living,unknown
Pseudomonas aeruginosa,NZ_JAFBLK010000001.1,Homo sapiens,non-cystic fibrosis,urine,NA,host.associated,disease.associated
Pseudomonas aeruginosa,NZ_JAFCGZ010000001.1,Homo sapiens,Ureteropelvic junction (UPJ) obstruction,Midstream urine,NA,host.associated,unknown
Pseudomonas aeruginosa,NZ_JAFCHE010000001.1,Homo sapiens,Rheumatic heart disease,sputum,NA,host.associated,unknown
Pseudomonas aeruginosa,NZ_JAFCHJ010000001.1,Homo sapiens,Retroperitoneal fistula,Per urether catheter urine,NA,host.associated,disease.associated
Pseudomonas aeruginosa,NZ_JAFBLI010000001.1,Homo sapiens,non-cystic fibrosis,sputum,NA,host.associated,disease.associated
Pseudomonas aeruginosa,NZ_JAFCHD010000001.1,Homo sapiens,Stricture Urethra,Per urether catheter urine,NA,host.associated,disease.associated
Pseudomonas aeruginosa,NZ_JAFCHI010000001.1,Homo sapiens,Congenital acyanotic heart disease,blood,NA,host.associated,unknown
Pseudomonas aeruginosa,NZ_JAFCHH010000001.1,Homo sapiens,Renal calculi,Midstream urine,NA,host.associated,unknown
Pseudomonas aeruginosa,NZ_JAFBLJ010000001.1,Homo sapiens,non-cystic fibrosis,sputum,NA,host.associated,disease.associated
Pseudomonas aeruginosa,NZ_JAFBLM010000001.1,Homo sapiens,non-cystic fibrosis,blood,NA,host.associated,disease.associated
Pseudomonas fluorescens,NZ_CP015225.1,NA,NA,ground water from background well,Whole organism,free.living,unknown
Pseudomonas aeruginosa,NZ_LFMT01000001.1,Homo sapiens,Not Collected,Associated Infection,NA,host.associated,disease.associated
Pseudomonas aeruginosa,NZ_LFMU01000010.1,Homo sapiens,Not Collected,Associated Infection,NA,host.associated,disease.associated
Pseudomonas plecoglossicida,NZ_JOJY01000001.1,NA,NA,soil,NA,free.living,unknown
Pseudomonas sp. 11/12A,NZ_JUGV01000001.1,NA,NA,NA,NA,host.associated,unknown
Pseudomonas sp. BRG-100,NZ_JPRX01000001.1,NA,NA,soil,NA,free.living,unknown
Pseudomonas aeruginosa 9BR,NZ_AFXI01000001.1,NA,NA,NA,NA,host.associated,unknown
Pseudomonas sp. R81,NZ_JH635997.1,wheat,NA,NA,NA,host.associated,unknown
Pseudomonas sp. MSPm1,NZ_CP059139.1,Caenorhabditis elegans,NA,Mesocom,cell culture,host.associated,unknown
Pseudomonas humi,NZ_BDGS01000001.1,NA,NA,NA,NA,host.associated,unknown
Pseudomonas aeruginosa 39016,NZ_CM001020.1,Homo sapiens,NA,cornea of a patient with ulcerative keratitis,NA,host.associated,disease.associated
Pseudomonas aeruginosa 2192,NZ_CH482384.1,NA,NA,NA,NA,host.associated,unknown
Pseudomonas synxantha,NZ_CP014868.1,NA,NA,soil,soil,free.living,unknown
Pseudomonas fluorescens BBc6R8,NZ_CP065593.1,NA,NA,Laccaria bicolor sporocarp,NA,host.associated,unknown
Pseudomonas sp. Y39-6,NZ_CP058975.1,NA,NA,groundwater,single cell,free.living,unknown
Pseudomonas fluorescens,NZ_CDMF01000001.1,NA,NA,spoiled raw milk,NA,unknown,unknown
Pseudomonas putida,NZ_KN639176.1,NA,NA,potato rhizosphere,cell culture,host.associated,unknown
Pseudomonas aeruginosa,NZ_CP047068.1,not applicable,NA,not applicable,bacterial strain,unknown,unknown
Pseudomonas aeruginosa,NZ_CP047063.1,not applicable,NA,not applicable,bacterial strain,unknown,unknown
Pseudomonas aeruginosa,NZ_CP047069.1,not applicable,NA,not applicable,bacterial strain,unknown,unknown
Pseudomonas aeruginosa,NZ_CP047064.1,not applicable,NA,not applicable,bacterial strain,unknown,unknown
Pseudomonas syringae pv. tomato,NZ_CP047072.1,not applicable,NA,not applicable,bacterial strain,unknown,unknown
Pseudomonas aeruginosa,NZ_CP047067.1,not applicable,NA,not applicable,bacterial strain,unknown,unknown
Pseudomonas aeruginosa,NZ_CP047062.1,not applicable,NA,not applicable,bacterial strain,unknown,unknown
Pseudomonas syringae pv. tomato,NZ_CP047071.1,not applicable,NA,not applicable,bacterial strain,unknown,unknown
Pseudomonas aeruginosa,NZ_CP047070.1,not applicable,NA,not applicable,bacterial strain,unknown,unknown
Pseudomonas aeruginosa,NZ_CP047066.1,not applicable,NA,not applicable,bacterial strain,unknown,unknown
Pseudomonas aeruginosa,NZ_CP047065.1,not applicable,NA,not applicable,bacterial strain,unknown,unknown
Pseudomonas aeruginosa,NZ_CP047061.1,not applicable,NA,not applicable,bacterial strain,unknown,unknown
Pseudomonas aeruginosa,NZ_JAENHR010000001.1,Homo sapiens,Benign prostatic hyperplasia,Per urether catheter urine,NA,host.associated,disease.associated
Pseudomonas veronii,NZ_LR828129.1,NA,NA,NA,NA,unknown,unknown
Pseudomonas palleroniana,NZ_CP025494.1,NA,NA,Amanita spp.,cell culture,host.associated,unknown
Pseudomonas ogarae,NZ_CP025738.1,Digitaria,NA,NA,whole organism,host.associated,unknown
Pseudomonas fluorescens BBc6R8,CP065593.1,NA,NA,Laccaria bicolor sporocarp,NA,host.associated,unknown
Pseudomonas sp. Y39-6,CP058975.1,NA,NA,groundwater,single cell,free.living,unknown
Pseudomonas sp. BIGb0427,CP062498.1,NA,NA,butterbur,whole organism,host.associated,unknown
Pseudomonas aeruginosa,LR898867.1,NA,NA,NA,NA,unknown,unknown
Pseudomonas aeruginosa,LR890619.1,NA,NA,NA,NA,unknown,unknown
Pseudomonas aeruginosa,CP063237.1,Homo sapiens,NA,NA,cell culture,host.associated,unknown
Pseudomonas syringae pv. actinidiae ICMP 9617,NZ_CM002753.1,Actinidia,NA,NA,NA,host.associated,unknown
Pseudomonas aeruginosa,CP015648.1,NA,NA,NA,NA,unknown,unknown
Pseudomonas aeruginosa,CP015647.1,NA,NA,NA,NA,unknown,unknown
Pseudomonas sp. MSPm1,CP059139.1,Caenorhabditis elegans,NA,Mesocom,cell culture,host.associated,unknown
Pseudomonas aeruginosa,CP058323.1,NA,NA,orange fruit with canker citrus,cell culture,host.associated,disease.associated
Pseudomonas sp. LPB0260,CP058247.1,NA,NA,soil,Whole organism,free.living,unknown
Pseudomonas aeruginosa,CP056100.1,Homo sapiens,Ventilator-associated pneumonia,endotracheal tube (ETT) or tracheostomy tube,NA,host.associated,disease.associated
Pseudomonas aeruginosa,CP056090.1,Homo sapiens,Ventilator-associated pneumonia,endotracheal tube (ETT) or tracheostomy tube,NA,host.associated,disease.associated
Pseudomonas aeruginosa,CP056089.1,Homo sapiens,Ventilator-associated pneumonia,endotracheal tube (ETT) or tracheostomy tube,NA,host.associated,disease.associated
Pseudomonas aeruginosa,CP056095.1,Homo sapiens,Ventilator-associated pneumonia,endotracheal tube (ETT) or tracheostomy tube,NA,host.associated,disease.associated
Pseudomonas aeruginosa,CP056092.1,Homo sapiens,Ventilator-associated pneumonia,endotracheal tube (ETT) or tracheostomy tube,NA,host.associated,disease.associated
Pseudomonas aeruginosa,CP056101.1,Homo sapiens,Ventilator-associated pneumonia,endotracheal tube (ETT) or tracheostomy tube,NA,host.associated,disease.associated
Pseudomonas aeruginosa,CP056098.1,Homo sapiens,Ventilator-associated pneumonia,endotracheal tube (ETT) or tracheostomy tube,NA,host.associated,disease.associated
Pseudomonas aeruginosa,CP056094.1,Homo sapiens,Ventilator-associated pneumonia,endotracheal tube (ETT) or tracheostomy tube,NA,host.associated,disease.associated
Pseudomonas aeruginosa,CP056093.1,Homo sapiens,Ventilator-associated pneumonia,endotracheal tube (ETT) or tracheostomy tube,NA,host.associated,disease.associated
Pseudomonas aeruginosa PAK,LR657304.1,Homo sapiens,NA,NA,NA,host.associated,unknown
Pseudomonas aeruginosa,CP053687.1,NA,NA,Dog ears,cell culture,host.associated,unknown
Pseudomonas aeruginosa,CP053686.1,Homo sapiens,Tonsilitis,Pharynx,NA,host.associated,disease.associated
Pseudomonas aeruginosa,CP044533.1,Homo sapiens,NA,sepsis/hemoculture,hemoculture,host.associated,disease.associated
Pseudomonas chlororaphis subsp. aurantiaca,CP050510.1,NA,NA,rhizosphere,whole organism,host.associated,unknown
Pseudomonas fluorescens,LR782234.1,NA,NA,NA,NA,unknown,unknown
Pseudomonas aeruginosa,CP021380.2,Homo sapiens,NA,catheter tip,NA,host.associated,unknown
Pseudomonas aeruginosa,LN831024.1,NA,NA,not known,NA,unknown,unknown
Pseudomonas sp. IB20,CP046103.1,NA,NA,NA,NA,unknown,unknown
Pseudomonas umsongensis,CP044409.1,NA,NA,soil,soil,free.living,unknown
Pseudomonas aeruginosa,CP041785.1,Homo sapiens,Purulent wound,wound,NA,host.associated,disease.associated
Pseudomonas aeruginosa,CP041787.1,Homo sapiens,Purulent wound,wound,NA,host.associated,disease.associated
Pseudomonas aeruginosa,CP041786.1,Homo sapiens,Purulent wound,wound,NA,host.associated,disease.associated
Pseudomonas sp. KBS0710,VCCF02000001.1,NA,NA,soil,environmental isolate,free.living,unknown
Pseudomonas sp. ATCC 13985,VCCM02000001.1,NA,NA,soil,environmental isolate,free.living,unknown
